	Tuft.1	Tuft.2	Tuft.3	Tuft.4	anno	umicount	mean_count
KCNQ4	-0.339	0.414	-0.065	0.062	Core	556	0.155893268979648
MEGF9	0.056	0.288	-0.059	-0.567	Core	565	0.158658556504371
RP9P	0.006	-0.006	0.221	-0.029	Core	568	0.172781066024396
KCNN3	-0.434	-0.142	0.129	0.694	Core	572	0.14638494661959
TUBA1A	0.525	0.258	-0.314	-1.651	Core	573	0.168734205657693
NAB1	0.109	0.229	-0.216	-0.117	Core	585	0.15855746534831
PIK3C2B	-0.109	-0.109	0.214	0.101	Core	622	0.176070741786902
ST18	-0.541	-0.155	0.14	0.359	Core	625	0.16349756830864
SPTSSB	-0.108	0.1	-1.016	0.683	Core	627	0.169246017999235
PVR	-0.271	0.02	-0.021	0.293	Core	632	0.186034322180475
clover	0.071	-0.423	0.683	-0.075	Core	650	0.170522896622033
TPD52L1	0.229	-0.162	-0.917	0.145	Core	672	0.179294682075147
PYGL	-0.369	-0.473	0.294	0.743	Core	680	0.18392367702581
PPARGC1B	-0.65	-0.354	0.422	0.284	Core	709	0.188136412335195
TCEA1	0.032	0.254	-0.033	-0.111	Core	722	0.200666016168037
RNF186	-0.753	0.394	-0.543	0.525	Core	732	0.187286103951749
GPR153	-0.224	0.229	-0.734	0.194	Core	733	0.208889057212792
TLE4	0.186	-0.074	-0.338	0.07	Core	740	0.204410028852018
POU2F1	-0.025	-0.081	0.359	0.025	Core	747	0.209075576666353
C11orf53	-0.021	-0.09	0.021	0.368	Core	751	0.195639860115542
MYEOV	-1.157	-0.763	0.496	0.739	Core	759	0.187602282989698
CXXC5	-0.007	0.007	-0.19	0.559	Core	761	0.196370347376458
PLCB2	0.148	0.682	-1.224	-0.165	Core	783	0.219716585593226
LCK	-0.061	0.098	0.042	-0.043	Core	788	0.218663424765063
SLC1A4	-0.761	-0.135	0.123	0.362	Core	796	0.207380027586836
CTDSPL	0.088	0.534	-0.094	-0.113	Core	802	0.217936410782377
SNRNP27	-0.441	-0.237	0.203	0.206	Core	811	0.223760310745171
NRCAM	-0.014	0.014	0.3	-0.219	Core	813	0.213354545733651
PROX1	-0.097	0.026	0.132	-0.026	Core	825	0.231171842109605
GMCL1	0.149	0.009	-0.027	-0.009	Core	829	0.221596115458124
LACTB2	0.054	0.691	-0.263	-0.056	Core	846	0.238882293798772
KLK13	-0.078	0.074	-0.405	0.179	Core	850	0.23600480331008
PRSS3	-0.77	-0.161	0.189	0.145	Core	853	0.221827955243571
AVIL	-0.074	0.071	0.403	-0.432	Core	880	0.245118288489289
KLHDC10	0.174	0.084	-0.089	-0.108	Core	882	0.256921139879554
CC2D1A	-0.148	-0.28	0.255	0.134	Core	883	0.235019967356528
CNN3	-0.283	-0.071	0.068	0.211	Core	897	0.254537249542839
TMEM45B	0.074	0.074	-0.488	-0.078	Core	897	0.240615720996093
RNF5	-0.15	-0.028	0.028	0.051	Core	902	0.242267325929733
GPT2	-0.403	-0.175	0.156	0.411	Core	904	0.240261908188123
ASCL2	-0.006	0.273	0.006	-0.395	Core	907	0.250050153833116
KCNQ1	-0.254	0.225	-0.132	0.121	Core	912	0.244567976172284
DCLK2	-0.673	0.194	-0.224	0.28	Core	913	0.246005765849181
HMCES	-0.199	0.261	0.035	-0.035	Core	914	0.246580165021675
MYO15B	-0.221	-0.406	0.192	0.207	Core	920	0.237070848580205
RUNX1	-0.217	-0.248	0.28	0.188	Core	936	0.255203475300638
CCDC115	-0.807	0.011	0.137	-0.011	Core	946	0.256622919182724
CDCP1	-0.17	0.071	-0.075	0.076	Core	951	0.245785862233878
ITFG1	-0.159	0.236	-0.246	0.144	Core	958	0.26195120436053
ACSL4	-0.087	0.082	-0.633	0.195	Core	976	0.25982574781073
ZNF664	-0.029	-0.106	0.029	0.119	Core	981	0.261598537830297
TCF7	-0.337	-0.434	0.273	0.462	Core	998	0.276924381085504
RBM38	-0.225	0.031	0.36	-0.032	Core	1004	0.259670683922034
LYPLA1	0.044	0.784	-0.046	-0.311	Core	1024	0.297016910532515
STK38	-0.362	0.177	0.085	-0.091	Core	1024	0.272877288361273
CEACAM1	-0.493	0.18	-0.205	0.332	Core	1037	0.276974009030388
COL27A1	0.412	0.09	-0.096	-0.36	Core	1044	0.322870455948647
ADGRG6	-0.262	0.084	-0.09	0.623	Core	1074	0.285991377637925
NCK2	0.404	-0.007	0.007	-0.017	Core	1102	0.298676616696016
OGDHL	-0.019	-0.512	0.019	0.23	Core	1124	0.313199483836234
HTR3E	-0.71	0.612	-1.597	0.474	Core	1139	0.318490114158106
B4GALNT4	-0.133	0.122	-0.36	0.206	Core	1141	0.326348377339968
STAT6	0.1	-0.051	0.05	-0.096	Core	1145	0.305685253976572
MAP7	-0.026	0.025	-0.149	0.569	Core	1186	0.325825687835689
B3GNT5	-0.51	-0.279	0.234	0.235	Core	1191	0.311421452326247
MYO1B	-0.014	0.014	-0.086	0.133	Core	1193	0.315203750533075
CDS1	-0.133	0.069	0.137	-0.072	Core	1195	0.315006364694063
BIK	-0.137	-0.032	0.153	0.031	Core	1206	0.344931485933091
ORMDL1	-0.146	-0.356	0.133	0.438	Core	1216	0.312993379999762
RNF24	-0.058	0.218	-0.459	0.056	Core	1226	0.352489692827823
MRPS21	-0.05	0.049	-0.397	0.135	Core	1229	0.341902040043432
PTPRJ	0.248	0.099	-0.125	-0.106	Core	1242	0.358841737106575
IL17RB	-0.374	0.043	-0.044	0.348	Core	1276	0.321833763104491
PIK3CG	-0.601	0.423	-1.2	0.5	Core	1282	0.359240327522179
MICAL2	-0.01	0.01	-0.016	0.274	Core	1293	0.34956350356644
H1-10	-0.728	-0.087	0.103	0.082	Core	1426	0.384923698328241
IGFBP2	-0.395	-0.047	0.484	0.046	Core	1451	0.383814698197743
CORO2B	-0.486	-0.168	0.151	0.454	Core	1454	0.404736905387277
PANK3	-0.414	-0.071	0.068	0.374	Core	1499	0.402414727106376
EIF5	-0.095	0.013	0.347	-0.013	Core	1507	0.399052275761907
SNX9	-0.466	0.029	-0.029	0.089	Core	1543	0.408021647744427
IMP4	-1.024	-0.146	0.68	0.132	Core	1550	0.398916158136553
GRK5	-0.509	-0.383	0.302	0.671	Core	1568	0.402200262305571
HOXA3	-0.329	0.053	-0.055	0.177	Core	1596	0.448229256733176
UTRN	-0.363	-0.059	0.057	0.536	Core	1596	0.434721635869392
SPTLC2	-0.152	-0.009	0.027	0.009	Core	1616	0.438080016441267
GNAI2	0.011	0.345	-0.158	-0.011	Core	1617	0.449640063143226
ITPRID1	-0.671	-0.596	0.421	0.753	Core	1688	0.429946498045323
BUB3	0.036	-0.322	0.548	-0.036	Core	1705	0.429808334983874
REEP5	-0.138	0.373	-0.434	0.126	Core	1706	0.471056380789981
MTSS1	-1.123	-0.263	0.222	0.607	Core	1720	0.455227076570088
LIPG	-0.405	-0.406	0.316	0.629	Core	1724	0.447471652031234
CTSC	-0.512	0.415	-0.238	0.204	Core	1751	0.461693087360851
CAMK2D	-0.179	0.146	-0.163	0.348	Core	1756	0.466948135371305
NCMAP	-0.616	0.094	-0.101	0.515	Core	1761	0.459897857405437
GLRX	-0.89	-0.023	0.022	0.984	Core	1841	0.457062201673459
ARPC5	-0.129	0.071	-0.075	0.22	Core	1866	0.493997257790945
EIF1B	-0.142	0.105	-0.094	0.088	Core	1870	0.496376713772806
PHF20L1	0.514	0.195	-0.394	-0.226	Core	1893	0.530916669634939
CSK	-0.19	-0.27	0.168	0.322	Core	1900	0.523133921492356
SH2D7	-0.761	-0.414	0.321	0.598	Core	1911	0.484399849924709
PSTPIP2	-0.183	-0.147	0.133	0.44	Core	2021	0.55321739046552
PHLDA1	0.087	0.097	-0.093	-0.506	Core	2112	0.574976788459
PLAC8	-0.4	0.313	-0.49	0.405	Core	2280	0.635098911294616
PBXIP1	-0.434	-0.059	0.056	0.501	Core	2370	0.629342030780483
KIT	0.084	0.222	-0.45	-0.089	Core	2373	0.657843604194488
EPS8L3	-0.229	-0.074	0.07	0.315	Core	2422	0.633169111462902
ZFHX3	0.147	-0.409	0.23	-0.164	Core	2556	0.739788860718393
PDLIM5	-0.259	0.219	-0.587	0.245	Core	2658	0.71216883392914
GADD45A	-1.379	-1.076	0.609	0.685	Core	2670	0.65244021193642
RASSF6	0.075	0.096	-0.079	-0.136	Core	2691	0.714259039987901
IL13RA1	0.207	0.291	-0.302	-0.241	Core	2709	0.76293617290159
ABHD2	0.171	0.627	-0.327	-0.195	Core	2738	0.752270629690902
HMX3	-0.047	-0.223	0.045	0.231	Core	2858	0.800352389268409
FURIN	-0.295	0.245	-0.442	0.433	Core	2898	0.784665502632404
SEPTIN2	-0.055	0.186	-0.239	0.053	Core	2959	0.78766475647612
POU2F3	-0.107	-0.307	0.411	0.1	Core	3091	0.848974534553378
HPGDS	-0.95	0.568	-2.92	0.575	Core	3156	0.851198531607103
HEPACAM2	-0.226	0.43	-0.15	0.136	Core	3320	0.92617804411451
PTPN18	-0.615	-0.234	0.201	0.295	Core	3478	0.920633066447152
PTGS1	0.056	0.811	-0.567	-0.058	Core	3480	0.975395335293681
NMU	0.193	-0.223	0.836	-0.649	Core	3598	0.9603101567304
ALOX5	-0.08	0.314	-0.205	0.076	Core	3721	0.976219189003355
SPIB	-0.102	0.095	-0.162	0.199	Core	3751	0.992083899610154
FYB1	0.009	0.373	-1.335	-0.009	Core	3812	1.08118480974373
ALDH1A1	0.16	0.201	-0.45	-0.18	Core	4021	1.15761244930878
SKAP2	-0.075	0.331	0.028	-0.029	Core	4623	1.26610748809208
GNG13	-0.625	0.151	-0.168	0.337	Core	4644	1.154392010728
BMX	-0.61	-0.162	0.146	0.267	Core	4698	1.18841431031869
PLCG2	-0.144	0.37	-0.247	0.131	Core	4783	1.27978904361503
LRMP	-0.085	0.51	-0.404	0.08	Core	4809	1.30078606826033
DPYSL3	-0.365	0.291	-0.907	0.317	Core	5240	1.42416042607948
ANXA1	0.149	0.405	-0.167	-0.764	Core	5436	1.49690448973203
SH2D6	-0.014	0.252	-0.51	0.013	Core	5924	1.6289235589688
CALM2	-0.469	0.089	-0.095	0.226	Core	6298	1.67240573408592
AZGP1	0.087	0.256	-0.595	-0.092	Core	6810	2.03022333023685
HCK	-0.7	-0.198	0.174	0.62	Core	7174	1.89074368511976
MARCKSL1	-0.196	0.179	-0.164	0.148	Core	7547	2.10934777865057
RTN4	-0.908	-0.259	0.219	0.666	Core	8023	2.08210596337977
TMEM176A	-0.03	0.616	-0.539	0.029	Core	8710	2.46476376791494
TMEM176B	-0.123	0.407	-0.46	0.114	Core	9112	2.53799558902482
AOC1	0.004	0.966	-1.443	-0.004	Core	10228	2.85783189018092
CD24	-0.328	0.121	-0.132	0.355	Core	12663	3.39926538943525
ANXA4	-0.238	0.118	-0.128	0.212	Core	13176	3.51397235890008
ALOX5AP	-0.415	0.446	-1.147	0.322	Core	15259	4.32363630172105
SLC17A9	1.11	0	0	0	Tuft-1	1	0.00267316781078249
AC254629.1	1.749	-0.017	-0.017	0.017	Tuft-1	4	0.00577862937459232
ATOH1	1.011	-0.054	-0.054	0.052	Tuft-1	6	0.0026173385137898
REG4	1.164	0.31	-0.531	-0.395	Tuft-1	11	0.00502917922627854
MPZL2	1.094	-0.053	0.051	-0.079	Tuft-1	15	0.00511068708596008
PHGDH	1.006	0.179	-0.204	-0.36	Tuft-1	23	0.00822011656194357
SLC29A4	1.11	0.214	-0.352	-0.251	Tuft-1	24	0.00660160280568347
SYNJ1	1.187	-0.055	-0.17	0.053	Tuft-1	25	0.00871826262938249
IL18	1.178	0.279	-0.347	-0.552	Tuft-1	26	0.0107552237153734
PBLD	1.377	0.132	-0.145	-0.309	Tuft-1	27	0.011150913019956
AC079160.1	1.524	0.057	-0.06	-0.107	Tuft-1	28	0.010899053817189
FAM227A	1.181	-0.14	-0.058	0.056	Tuft-1	29	0.00854717342806425
AC131009.4	1.036	-0.657	0.323	-0.417	Tuft-1	30	0.0121232384657527
CCDC26	1.75	-0.193	0.17	-0.241	Tuft-1	31	0.0163639688441276
COL1A1	1.206	0.345	-0.454	-0.543	Tuft-1	36	0.0201465825915746
ZNF566	1.23	0.117	-0.342	-0.127	Tuft-1	36	0.0123698812959792
MELTF-AS1	1.052	0.034	-0.204	-0.035	Tuft-1	38	0.0134346202113453
AC092171.1	1.065	0.316	-0.483	-0.405	Tuft-1	42	0.0144225620308854
CKMT2-AS1	1.243	0.006	-0.163	-0.006	Tuft-1	42	0.0143218672973954
PLA2G4F	1.174	-0.139	0.074	-0.078	Tuft-1	46	0.015280599774503
CHML	1.092	0.316	-0.459	-0.405	Tuft-1	47	0.0156678731051468
ACOT9	1.506	-0.19	0.115	-0.124	Tuft-1	49	0.0159363241854194
TNK1	1.077	-0.268	-0.166	0.149	Tuft-1	50	0.0150253835322733
TGFBI	1.134	0.338	-0.832	-0.442	Tuft-1	53	0.0157065354034845
AGR2	1.119	0.067	-0.07	-0.296	Tuft-1	56	0.0147810123576904
MTA1	1.023	0.051	-0.221	-0.053	Tuft-1	59	0.0173158233688957
AC010343.1	1.263	0.296	-0.378	-0.372	Tuft-1	61	0.0306508337293439
VIM	1.058	0.43	-1.037	-0.616	Tuft-1	62	0.0292415298500511
MTRNR2L10	1.198	-0.104	-0.003	0.003	Tuft-1	64	0.0209602796314205
FN1	1.214	0.052	-0.496	-0.053	Tuft-1	65	0.0236255255795305
ACAN	2.784	-0.176	-0.127	0.116	Tuft-1	70	0.0457941617216667
PTER	1.035	0.323	-0.513	-0.417	Tuft-1	71	0.0218186569724187
NOM1	1.179	-0.292	0.131	-0.144	Tuft-1	74	0.0236130617198811
INSM1	1.211	0.277	-0.344	-0.587	Tuft-1	77	0.0254223817822263
PRG4	2.139	-0.313	-0.575	0.257	Tuft-1	78	0.0318575224819532
TMEM209	1.231	0.094	-0.101	-0.353	Tuft-1	79	0.0257762172177166
SMARCA1	1.092	0.297	-0.68	-0.375	Tuft-1	82	0.0256008439411651
SHPRH	1.044	-0.02	-0.409	0.019	Tuft-1	84	0.0258870620603266
RNU1-33P	1.072	0.266	-0.327	-0.5	Tuft-1	87	0.0348381820975273
INTS3	1.414	0.049	-0.15	-0.051	Tuft-1	96	0.0295637723548338
DCN	2.15	-0.199	-0.176	0.157	Tuft-1	111	0.0498961663695585
RPL39	1.088	0.149	-0.167	-0.508	Tuft-1	111	0.0382848835943044
PCID2	1.075	0.005	-0.481	-0.005	Tuft-1	113	0.0336927939103951
HMGCL	1.186	0.217	-0.362	-0.255	Tuft-1	114	0.0347838525219726
PIGM	1.152	-0.236	0.084	-0.09	Tuft-1	130	0.0429328748351848
AC024145.1	1.021	0.303	-0.45	-0.385	Tuft-1	137	0.0432856103385115
SYTL2	1.328	0.364	-1.314	-0.488	Tuft-1	141	0.0526163750978345
NUP160	1.04	0.072	-0.234	-0.076	Tuft-1	143	0.0388276113342102
CHGA	1.488	0.653	-1.657	-1.224	Tuft-1	145	0.0500251614499867
TSGA10	1.121	0.045	-0.651	-0.046	Tuft-1	151	0.0476019944331993
PCNX1	1.206	-0.123	-0.416	0.113	Tuft-1	157	0.0501628262760791
SEMA3C	1.275	0.388	-0.531	-0.667	Tuft-1	166	0.047180188091173
LAMB1	1.048	0.035	-0.088	-0.036	Tuft-1	198	0.0622668167406067
ICA1	1.032	0.198	-0.669	-0.23	Tuft-1	338	0.0948387323693054
ANXA5	1.098	0.231	-0.276	-0.442	Tuft-1	356	0.12522338024367
SNHG14	1.087	0.366	-0.492	-0.532	Tuft-1	376	0.116153496550849
ABCC3	1.114	0.417	-0.745	-0.59	Tuft-1	432	0.136927854073178
TNFSF13B	0.043	1.13	-0.044	-0.056	Tuft-2	26	0.0104337715936153
LIPA	-0.065	1.14	0.062	-0.085	Tuft-2	35	0.0114747009623826
SLC39A5	-0.254	1.219	-0.096	0.09	Tuft-2	41	0.0131622199524728
SMIM27	0.011	1.264	-0.011	-0.085	Tuft-2	41	0.0168577556400775
BDH2	0.449	1.18	-0.656	-0.723	Tuft-2	58	0.0229757691823293
FAM49A	0.574	1.124	-0.969	-1.097	Tuft-2	61	0.0203747250858833
IFI27L2	-0.165	1.189	0.127	-0.139	Tuft-2	61	0.0176695804192656
ELMOD2	-0.167	1.08	0.15	-0.176	Tuft-2	77	0.0232440154877419
LINC01537	0.098	1.389	-0.502	-0.105	Tuft-2	87	0.0258675227330005
FAM43B	0.55	1.429	-1.155	-0.901	Tuft-2	96	0.0298910396353531
GCNT1	-0.519	1.09	-0.058	0.056	Tuft-2	97	0.027543694067893
CFTR	0.473	1.678	-0.752	-0.708	Tuft-2	100	0.0302645631531465
DENND1B	-0.154	1.129	-0.087	0.082	Tuft-2	119	0.0343323776387021
HOXB8	0.18	1.133	-0.262	-0.206	Tuft-2	121	0.037557082273364
AIG1	0.086	1.14	-0.378	-0.091	Tuft-2	149	0.0421926813053063
LPCAT4	0.279	1.341	-0.459	-0.347	Tuft-2	150	0.0453807782096172
SBDS	0.371	1.025	-0.85	-0.501	Tuft-2	152	0.0486851406603153
FCHO2	-0.328	1.06	-0.416	0.267	Tuft-2	173	0.0488301518067388
HSPB1	-0.24	1.042	0.124	-0.135	Tuft-2	197	0.0647605514186013
TM4SF4	0.63	2.134	-1.286	-1.144	Tuft-2	200	0.0691366481868881
HTR3C	0.209	1.139	-1.2	-0.245	Tuft-2	216	0.0661857222182592
DEFB1	0.097	1.915	-1.266	-0.104	Tuft-2	229	0.0788103861559827
KIF21A	0.191	1.024	-0.22	-0.264	Tuft-2	237	0.0728845308045087
SFRP5	0.223	1.238	-0.4	-0.264	Tuft-2	293	0.0855152944565658
CASC1	-0.358	1.079	-0.41	0.287	Tuft-2	297	0.0934690292519179
FAM3B	-0.228	1.052	-0.264	0.197	Tuft-2	323	0.0850363481972769
SARAF	0.22	1.015	-0.26	-0.302	Tuft-2	365	0.102257985530673
CTSV	0.003	1.047	-0.785	-0.003	Tuft-2	373	0.112136116581138
TM4SF1	0.427	1.019	-0.687	-0.609	Tuft-2	384	0.107801244357283
PDE2A	0.116	1.028	-1.235	-0.126	Tuft-2	467	0.137920312907653
TAS1R3	0.206	1.153	-0.853	-0.241	Tuft-2	552	0.150779255793217
RGS13	0.369	1.001	-1.145	-0.498	Tuft-2	2719	0.787887324498041
B2M	-0.421	1.027	-0.616	0.325	Tuft-2	3314	0.906011660358986
E2F1	-0.02	-0.006	1.031	0.006	Tuft-3	28	0.0076529290554302
MCM10	-0.177	0.075	1.014	-0.079	Tuft-3	30	0.0068226550768296
MCM6	0.006	-0.155	1.019	-0.006	Tuft-3	33	0.00661649846183603
CLSPN	0.162	-0.183	1.178	-0.217	Tuft-3	45	0.0113723407786424
PIF1	-0.098	0.025	1.469	-0.025	Tuft-3	48	0.00909685809800082
CENPA	-0.424	0.133	1.166	-0.147	Tuft-3	50	0.0123517429123632
IL23A	-0.427	-0.07	1.084	0.067	Tuft-3	50	0.0123346275663768
CENPW	-0.137	-0.222	1.21	0.125	Tuft-3	53	0.011625695236093
HJURP	0.013	-0.07	1.31	-0.013	Tuft-3	53	0.0110180093425395
C21orf58	-0.102	0.054	1.165	-0.056	Tuft-3	57	0.0122160143072566
CCNF	-0.186	0.044	1.276	-0.045	Tuft-3	57	0.0133567610854183
PRC1	0.028	-0.055	1.402	-0.029	Tuft-3	63	0.0135654965592148
CIT	0.077	-0.081	1.586	-0.155	Tuft-3	68	0.015417577582206
FANCI	0.216	-0.467	1.311	-0.254	Tuft-3	68	0.0182336091884311
SEMA6C	-0.294	-0.063	1.145	0.06	Tuft-3	68	0.0177955895065963
HELLS	0.297	-0.374	1.187	-0.496	Tuft-3	70	0.0204663792885377
NDC80	-0.294	-0.029	1.521	0.029	Tuft-3	72	0.0138093120264999
KIF22	-0.197	-0.11	1.01	0.102	Tuft-3	73	0.0215636239957434
CEP55	0.006	-0.307	1.327	-0.006	Tuft-3	74	0.0159381708791528
CKAP2L	0.112	-0.122	1.02	-0.354	Tuft-3	74	0.0160444885082165
MCM5	-0.602	-0.068	1.152	0.065	Tuft-3	77	0.0219331319191722
MUC2	0.052	-0.623	1.041	-0.054	Tuft-3	80	0.0152381175321902
DEPDC1	0.125	-0.137	1.493	-0.169	Tuft-3	81	0.0185006519022405
IQGAP3	-0.119	-0.348	1.232	0.11	Tuft-3	81	0.0165824368333847
CENPU	0.255	-0.538	1.29	-0.311	Tuft-3	82	0.0189536039616568
PLK1	0.054	-0.056	1.781	-0.108	Tuft-3	82	0.0175929766302408
CEP152	-0.453	-0.208	1.26	0.182	Tuft-3	83	0.0206855925591144
HMMR	0.028	-0.283	1.604	-0.028	Tuft-3	83	0.0179451587066774
CDCA7	-0.09	-0.621	1.031	0.085	Tuft-3	84	0.0221808844989379
SGO2	0.008	-0.008	1.465	-0.114	Tuft-3	84	0.0190121545135412
MELK	-0.088	-0.099	1.493	0.083	Tuft-3	85	0.0165746257618828
NEK2	-0.06	-0.39	1.428	0.058	Tuft-3	86	0.0194984667722912
UBE2T	0.178	-0.203	1.198	-0.256	Tuft-3	86	0.0202101247728192
DLGAP5	0.111	-0.277	1.372	-0.12	Tuft-3	87	0.0163406215073594
KNSTRN	0.075	-0.08	1.318	-0.08	Tuft-3	89	0.0219250948592939
CHAF1A	0.207	-0.527	1.017	-0.242	Tuft-3	91	0.0226375851379215
KIF2C	0.247	-0.367	1.555	-0.299	Tuft-3	91	0.0209078599468478
PLA2G4D	0.085	-0.09	1.344	-0.453	Tuft-3	91	0.0213087795617881
